Name,Stars,Forks,Months,TF_version,Torch_version
stratospark/keras-multiprocess-image-data-generator,312.0,66.0,36.0,ntensorflow-gpu==0.12.1,none
KichangKim/DeepDanbooru,313.0,42.0,12.0,ntensorflow>=2.1.0,none
mckinziebrandon/DeepChatModels,311.0,72.0,36.0,ntensorflow==1.2.0rc2,none
Robinwho/Deep-Learning,310.0,131.0,36.0,none,none
Naresh1318/Adversarial_Autoencoder,310.0,102.0,36.0,ntensorflow-gpu==1.7.0',none
tobyyouup/conv_seq2seq,306.0,122.0,36.0,none,none
Neargye/hello_tf_c_api,306.0,80.0,24.0,none,none
DongjunLee/transformer-tensorflow,304.0,100.0,36.0,b'tensorflow,none
ryouchinsa/Rectlabel-support,305.0,43.0,36.0,none,none
kymatio/kymatio,304.0,58.0,24.0,none,none
tensorlang/tensorlang,302.0,21.0,36.0,none,none
Grzego/handwriting-generation,301.0,69.0,36.0,none,none
jmiller656/EDSR-Tensorflow,300.0,109.0,36.0,b'tensorflow,none
DjangoPeng/tensorflow-101,300.0,452.0,12.0,none,none
petercunha/Emotion,298.0,131.0,36.0,none,none
minimaxir/reactionrnn,298.0,34.0,36.0,none,none
art-programmer/PlaneNet,297.0,68.0,36.0,none,none
benedekrozemberczki/GraphWaveletNeuralNetwork,297.0,67.0,12.0,none,none
williamFalcon/tensorflow-gpu-install-ubuntu-16.04,296.0,119.0,36.0,none,none
geektutu/tensorflow-tutorial-samples,296.0,114.0,36.0,none,none
cjweeks/tensorflow-cmake,295.0,91.0,48.0,none,none
ArunMichaelDsouza/tensorflow-image-detection,295.0,77.0,36.0,none,none
ayush1997/Xvision,295.0,119.0,36.0,none,none
bjpcjp/scikit-and-tensorflow-workbooks,293.0,179.0,36.0,none,none
xdever/RFCN-tensorflow,292.0,136.0,36.0,none,none
richmondu/libfaceid,293.0,97.0,24.0,ntensorflow==1.8.0,none
nicolov/segmentation_keras,292.0,89.0,48.0,ntensorflow-tensorboard==0.1.5,none
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,292.0,206.0,36.0,none,none
carpedm20/visual-analogy-tensorflow,290.0,45.0,48.0,none,none
Charleswyt/tf_audio_steganalysis,289.0,47.0,24.0,none,none
DemisEom/SpecAugment,289.0,82.0,12.0,none,none
liweimin1996/MachineLearning-DeepLearning-NLP-LeetCode-StatisticalLearningMethod-TensorFlow,288.0,74.0,24.0,none,none
lc222/seq2seq_chatbot,287.0,93.0,36.0,none,none
Alro10/deep-learning-time-series,285.0,60.0,12.0,none,none
google/edward2,285.0,35.0,12.0,none,none
MahanFathi/CS231,281.0,150.0,36.0,none,none
tensorflow/compression,282.0,101.0,24.0,ntensorflow_probability >= 0.9,none
crazydonkey200/neural-symbolic-machines,281.0,57.0,24.0,ntensorflow-gpu==1.12.0,none
DJTobias/Cherry-Autonomous-Racecar,281.0,105.0,48.0,none,none
dwiel/tensorflow_hmm,280.0,76.0,48.0,none,none
yrlu/irl-imitation,280.0,99.0,36.0,none,none
jimfleming/recurrent-entity-networks,279.0,70.0,48.0,b'tensorflow==1.1.0,none
taki0112/MUNIT-Tensorflow,279.0,82.0,24.0,none,none
j-min/tf_tutorial_plus,280.0,93.0,36.0,none,none
maiminh1996/YOLOv3-tensorflow,278.0,92.0,24.0,none,none
fendouai/Chinese-Text-Classification,278.0,93.0,36.0,none,none
hwalsuklee/tensorflow-style-transfer,277.0,102.0,36.0,none,none
hirofumi0810/tensorflow_end2end_speech_recognition,277.0,115.0,36.0,ntensorflow==1.2.0,none
applenob/RNN-for-Joint-NLU,277.0,100.0,36.0,none,none
empathy87/The-Elements-of-Statistical-Learning-Python-Notebooks,277.0,82.0,12.0,none,none
google-research/meta-dataset,278.0,50.0,12.0,ntensorflow>=1.12.0,none
zhihu/cuBERT,277.0,43.0,12.0,none,none
apcode/tensorflow_fasttext,275.0,86.0,36.0,b'tensorflow,none
pmsosa/CS291K,275.0,106.0,36.0,b'tensorflow,none
XMUNLP/Tagger,273.0,80.0,36.0,none,none
Cadene/tensorflow-model-zoo.torch,272.0,85.0,48.0,none,none
wookayin/tensorflow-plot,272.0,39.0,36.0,"n#tensorflow >=1.12.0, <2.0",none
leonndong/DeepLabV3-Tensorflow,271.0,96.0,36.0,ntensorflow-gpu==1.4.0,none
lifeomic/sparkflow,271.0,35.0,24.0,"b'# To choose a Python version, first create the env with:\n# conda create -n sparkflow python=3.6\n# and then update it\n# conda env update -n sparkflow -f environment.yml\nname: sparkflow\nchannels:\n- https://repo.anaconda.com/pkgs/main/linux-64/\ndependencies:\n# runtime\n- six=1.11.0\n- pandas=0.23.4\n- h5py=2.8.0\n- pillow=4.1.1\n- dill\n- tensorflow=1.10.0\n- flask\n- requests\n# test\n- coverage=4.5.1\n- nose=1.3.7\n- parameterized=0.6.1\n- pylint=1.8.4\n- argcomplete=1.9.4\n- PyYAML=3.13\n- pip:\n  # test\n  - prospector==0.12.11\n  - argh==0.26.2\n  - yapf==0.21.0'",none
guillaumegenthial/im2latex,271.0,94.0,36.0,b'tensorflow,none
una-dinosauria/human-motion-prediction,270.0,110.0,36.0,none,none
Honlan/wechat_jump_tensorflow,270.0,99.0,36.0,none,none
graknlabs/kglib,270.0,53.0,24.0,ntensorflow-probability==0.7.0,none
Xtremilicious/ProjectLearn-Project-Based-Learning,276.0,27.0,12.0,none,none
meownoid/tensorfow-rbm,268.0,116.0,48.0,none,none
vlawhern/arl-eegmodels,268.0,104.0,24.0,none,none
hunglc007/tensorflow-yolov4-tflite,268.0,65.0,0.0,ntensorflow_addons==0.9.1,none
wbhu/DnCNN-tensorflow,267.0,136.0,36.0,none,none
Belval/CRNN,267.0,93.0,36.0,ntensorflow-probability==0.7.0,none
php-opencv/php-opencv-examples,266.0,47.0,24.0,none,none
intel-isl/Open3D-PointNet2-Semantic3D,266.0,63.0,24.0,none,none
ikhlestov/vision_networks,264.0,130.0,36.0,none,none
adeshpande3/Generative-Adversarial-Networks,263.0,125.0,36.0,none,none
tensorlayer/dcgan,262.0,109.0,48.0,none,none
dinghanshen/SWEM,261.0,52.0,24.0,b'tensorflow==1.5,none
clovaai/assembled-cnn,261.0,29.0,0.0,none,none
thushv89/attention_keras,261.0,168.0,12.0,ntensorflow==1.12.0,none
rcmalli/keras-mobilenet,258.0,68.0,36.0,none,none
endernewton/iter-reason,258.0,37.0,24.0,none,none
Azure/kubeflow-labs,258.0,89.0,24.0,none,none
theamrzaki/text_summurization_abstractive_methods,258.0,144.0,24.0,none,none
EricZgw/PyramidBox,257.0,99.0,24.0,none,none
DjangoPeng/tensorflow-in-depth,257.0,93.0,24.0,none,none
benedekrozemberczki/SimGNN,257.0,59.0,12.0,none,none
seasonSH/DocFace,257.0,110.0,24.0,none,none
TellinaTool/nl2bash,254.0,38.0,48.0,none,none
see--/keras-centernet,254.0,74.0,12.0,none,none
yashk2810/Image-Captioning,253.0,96.0,36.0,none,none
solivr/tf-crnn,253.0,90.0,36.0,b'name: crnn-tf2\ndependencies:\n  - python=3.6\n  - imageio\n  - numpy\n  - tqdm\n  - pandas\n  - click\n  - pip\n  - pip:\n    - sacred\n    - opencv-python\n    - tensorflow-gpu>=2.0\n    - tensorflow-addons>=0.5\n    - git+https://github.com/solivr/taputapu.git#egg=taputapu\n    - sphinx\n    - sphinx-autodoc-typehints\n    - sphinx-rtd-theme\n',none
LeslieZhoa/tensorflow-MTCNN,253.0,117.0,24.0,none,none
serengil/deepface,253.0,66.0,0.0,ntensorflow>=1.9.0,none
galsang/ABCNN,252.0,119.0,36.0,none,none
tgjeon/Keras-Tutorials,252.0,134.0,48.0,none,none
rishizek/tensorflow-deeplab-v3,251.0,100.0,24.0,none,none
DetectionTeamUCAS/FPN_Tensorflow,251.0,108.0,24.0,none,none
daviddao/spatial-transformer-tensorflow,250.0,98.0,48.0,none,none
PRBonn/bonnet,250.0,67.0,24.0,none,none
gustavz/realtime_object_detection,249.0,143.0,36.0,none,none
OAID/FaceDetection,249.0,116.0,36.0,none,none
larq/larq,249.0,33.0,12.0,none,none
arahusky/Tensorflow-Segmentation,248.0,87.0,36.0,none,none
Conchylicultor/MusicGenerator,248.0,68.0,48.0,none,none
rwth-i6/returnn,248.0,101.0,48.0,none,none
trekhleb/machine-learning-experiments,250.0,39.0,12.0,ntensorflow-metadata==0.21.1,none
GokuMohandas/fast-weights,247.0,67.0,48.0,none,none
610265158/Peppa_Pig_Face_Engine,246.0,68.0,12.0,b'tensorflow==2.0,none
yukitsuji/3D_CNN_tensorflow,246.0,116.0,36.0,none,none
meetshah1995/tf-3dgan,246.0,78.0,36.0,none,none
awslabs/deeplearning-cfn,245.0,117.0,36.0,none,none
kamalkraj/Named-Entity-Recognition-with-Bidirectional-LSTM-CNNs,245.0,111.0,24.0,none,none
thomasschmied/Speech_Recognition_with_Tensorflow,244.0,53.0,24.0,none,none
rlgraph/rlgraph,244.0,27.0,24.0,none,none
PINTO0309/Tensorflow-bin,244.0,51.0,24.0,none,none
cpury/lookie-lookie,244.0,56.0,24.0,none,none
tokestermw/tensorflow-shakespeare,243.0,55.0,60.0,none,none
cesarsouza/keras-sharp,243.0,64.0,36.0,none,none
minhnhat93/tf-SNDCGAN,242.0,62.0,36.0,none,none
mks0601/TF-SimpleHumanPose,242.0,70.0,12.0,none,none
LynnHo/CycleGAN-Tensorflow-2,242.0,104.0,36.0,none,none
ChenglongChen/tensorflow-XNN,242.0,72.0,24.0,none,none
hannw/nlstm,241.0,33.0,24.0,none,none
HiKapok/tf.fashionAI,241.0,78.0,24.0,none,none
for-ai/Targeted-Dropout,241.0,41.0,24.0,b'tensorflow>=1.9,none
pmh47/dirt,239.0,40.0,24.0,none,none
titu1994/MLSTM-FCN,239.0,107.0,24.0,b'tensorflow-gpu>=1.4.0,none
sozykin/dlpython_course,238.0,199.0,48.0,none,none
savan77/The-GAN-World,238.0,77.0,36.0,none,none
fregu856/segmentation,238.0,69.0,36.0,none,none
yanshengjia/artificial-intelligence,238.0,251.0,48.0,none,none
hmishra2250/NTM-One-Shot-TF,237.0,69.0,36.0,none,none
kwotsin/TensorFlow-ENet,237.0,120.0,36.0,none,none
adhiraiyan/DeepLearningWithTF2.0,237.0,78.0,12.0,b'name: deep-learning-with-tensorflow-2.0\nchannels:\n  - conda-forge\ndependencies:\n  - python=3.6\n  - matplotlib\n  - pandas\n  - seaborn\n  - pip:\n    - tf-nightly-2.0-preview\n    - tfp-nightly\n',none
Stick-To/Object-Detection-API-Tensorflow,237.0,87.0,12.0,none,none
dpressel/mead-baseline,237.0,65.0,48.0,none,none
rish-16/gpt2client,237.0,51.0,12.0,none,none
evilsocket/ergo,237.0,24.0,24.0,b'tensorflow==1.14.0,none
benedekrozemberczki/AttentionWalk,236.0,36.0,12.0,none,none
ardiya/siamesenetwork-tensorflow,236.0,78.0,48.0,none,none
indiejoseph/cnn-text-classification-tf-chinese,235.0,109.0,48.0,none,none
therne/dmn-tensorflow,235.0,89.0,48.0,none,none
ritchieng/dlami,235.0,31.0,48.0,none,none
mit-acl/cadrl_ros,235.0,102.0,24.0,none,none
moabitcoin/holy-edge,235.0,115.0,36.0,ntensorflow-gpu==1.1.0,none
anuragmishracse/caption_generator,233.0,107.0,36.0,ntensorflow==1.1.0,none
dhlab-epfl/dhSegment,233.0,92.0,36.0,none,none
keiohta/tf2rl,233.0,43.0,12.0,none,none
rohitgirdhar/AttentionalPoolingAction,233.0,65.0,36.0,none,none
calmisential/Basic_CNNs_TensorFlow2,234.0,74.0,12.0,none,none
ionvision/DeepLearningCourseCodes,232.0,185.0,36.0,none,none
Anfany/Machine-Learning-for-Beginner-by-Python3,232.0,156.0,24.0,none,none
CVLAB-Unibo/Real-time-self-adaptive-deep-stereo,232.0,50.0,24.0,b'tensorflow-gpu==1.12,none
yule-li/CosFace,231.0,80.0,24.0,none,none
sirius-ai/MobileFaceNet_TF,230.0,111.0,24.0,none,none
zw76859420/ASR_Theory,230.0,83.0,12.0,none,none
brucechou1983/CheXNet-Keras,230.0,124.0,24.0,ntensorflow-gpu==1.4.1,none
mks0601/PoseFix_RELEASE,230.0,39.0,12.0,none,none
icoxfog417/tensorflow_qrnn,229.0,37.0,48.0,ntensorflow==0.12.0,none
darkonhub/darkon,229.0,36.0,36.0,none,none
guillaume-chevalier/HAR-stacked-residual-bidir-LSTMs,228.0,90.0,48.0,none,none
jinfagang/tensorflow_novelist,228.0,76.0,36.0,none,none
ZhiqingXiao/rl-book,228.0,106.0,12.0,ntensorflow,none
Chung-I/Variational-Recurrent-Autoencoder-Tensorflow,227.0,76.0,48.0,none,none
uclnlp/jack,227.0,63.0,48.0,none,none
kwotsin/transfer_learning_tutorial,227.0,85.0,36.0,none,none
axelbrando/Mixture-Density-Networks-for-distribution-and-uncertainty-estimation,227.0,57.0,36.0,none,none
DetectionTeamUCAS/RRPN_Faster-RCNN_Tensorflow,226.0,81.0,24.0,none,none
curiousily/Deep-Learning-For-Hackers,226.0,112.0,12.0,none,none
imistyrain/MTCNN,226.0,86.0,48.0,none,none
tobybreckon/fire-detection-cnn,226.0,96.0,24.0,ntensorflow==1.15,none
mfigurnov/sact,225.0,49.0,36.0,ntensorflow==1.0.0,none
evgps/a3c_trading,225.0,68.0,24.0,none,none
wshuyi/demo-chinese-text-binary-classification-with-bert,225.0,71.0,12.0,none,none
rwightman/posenet-python,224.0,90.0,12.0,none,none
maxim5/time-series-machine-learning,224.0,77.0,36.0,none,none
genicam/harvesters,224.0,27.0,24.0,none,none
BMW-InnovationLab/BMW-TensorFlow-Inference-API-GPU,224.0,69.0,12.0,none,none
jiamings/wgan,221.0,84.0,36.0,none,none
stevenpjg/ddpg-aigym,221.0,68.0,48.0,none,none
ximimiao/deeplabv3-Tensorflow,221.0,96.0,24.0,none,none
bogatyy/cs224d,221.0,95.0,48.0,none,none
alibaba/flink-ai-extended,221.0,81.0,12.0,none,none
broadinstitute/keras-resnet,220.0,99.0,36.0,none,none
Zhenye-Na/machine-learning-uiuc,220.0,97.0,24.0,none,none
simonmeister/UnFlow,220.0,56.0,36.0,none,none
bakwc/PornDetector,219.0,63.0,60.0,none,none
vsuthichai/paraphraser,219.0,56.0,24.0,ntensorflow-tensorboard==0.4.0rc3,none
delira-dev/delira,219.0,23.0,24.0,none,none
Kenza-AI/sagify,219.0,35.0,24.0,none,none
drscotthawley/panotti,218.0,62.0,36.0,ntensorflow>=1.5.0,none
HardcoreJosh/JoshieGo,217.0,44.0,24.0,none,none
iesl/dilated-cnn-ner,215.0,55.0,36.0,none,none
huxiaoman7/learningdl,215.0,142.0,24.0,none,none
DongjunLee/text-cnn-tensorflow,214.0,63.0,36.0,none,none
thomasschmied/Text_Summarization_with_Tensorflow,214.0,52.0,24.0,none,none
tensorlayer/awesome-tensorlayer,214.0,42.0,24.0,none,none
nnstreamer/nnstreamer,214.0,66.0,24.0,none,none
BishopFox/deephack,214.0,46.0,36.0,none,none
KDD-OpenSource/DeepADoTS,213.0,39.0,24.0,ntensorflow==1.13.0rc1,ntorchvision
GaoQ1/rasa_nlu_gq,213.0,78.0,24.0,none,none
sudharsan13296/Hands-On-Deep-Learning-Algorithms-with-Python,214.0,126.0,12.0,none,none
dmesquita/understanding_tensorflow_nn,212.0,84.0,36.0,none,none
duxingren14/DualGAN,212.0,86.0,36.0,none,none
thekevinscott/ml-classifier-ui,212.0,19.0,24.0,none,none
conan7882/adversarial-autoencoders,212.0,31.0,24.0,none,none
DrSleep/tensorflow-deeplab-lfov,211.0,84.0,48.0,none,none
alshedivat/keras-gp,211.0,53.0,48.0,ntensorflow>=1.0,none
tantara/JejuNet,212.0,41.0,24.0,none,none
zjjMaiMai/Deep-Alignment-Network-A-convolutional-neural-network-for-robust-face-alignment,210.0,68.0,36.0,none,none
arnab39/FewShot_GAN-Unet3D,210.0,45.0,24.0,none,none
1202kbs/Understanding-NN,209.0,61.0,36.0,none,none
fsx950223/mobilenetv2-yolov3,209.0,73.0,12.0,ntensorflow_gpu==1.15.0,none
meownoid/face-identification-tpe,209.0,74.0,48.0,none,none
retextjs/retext-keywords,210.0,24.0,72.0,none,none
hiwonjoon/tf-vqvae,208.0,39.0,36.0,none,none
galeone/dynamic-training-bench,209.0,32.0,48.0,ntensorflow==1.15.2,none
cjymz886/text-cnn,209.0,73.0,24.0,none,none
huggingface/node-question-answering,208.0,22.0,0.0,none,none
bhaveshoswal/CNN-text-classification-keras,207.0,101.0,48.0,none,none
gongzhitaao/tensorflow-adversarial,207.0,70.0,48.0,none,none
goodrahstar/my-awesome-AI-bookmarks,207.0,61.0,24.0,none,none
xuanjihe/speech-emotion-recognition,207.0,92.0,36.0,none,none
aws/sagemaker-tensorflow-container,207.0,126.0,24.0,none,none
joelbarmettlerUZH/auto-tinder,206.0,45.0,12.0,ntensorflow==2.0.1,none
rohitgirdhar/ActionVLAD,205.0,65.0,36.0,none,none
as-ideas/TransformerTTS,205.0,29.0,0.0,ntensorflow>=2.2.0,none
rish-16/sight,205.0,17.0,12.0,b'tensorflow==1.15.2,none
hwalsuklee/tensorflow-fast-style-transfer,204.0,71.0,36.0,none,none
0x454447415244/HandwritingRecognitionSystem,204.0,80.0,24.0,none,none
laughtervv/SGPN,204.0,45.0,24.0,none,none
HunterXuan/wx-tfjs-demo,204.0,40.0,12.0,none,none
philferriere/tfwss,204.0,50.0,24.0,none,none
tancik/StegaStamp,202.0,68.0,12.0,none,none
machine-learning-apps/Issue-Label-Bot,202.0,53.0,12.0,ntensorflow==1.12.0,none
ruiminshen/yolo-tf,201.0,72.0,36.0,none,none
as-ideas/headliner,201.0,34.0,12.0,none,none
peterlee0127/tensorflow-nvJetson,201.0,61.0,36.0,none,none
conan7882/GoogLeNet-Inception,201.0,97.0,36.0,none,none
deepVector/geospatial-machine-learning,200.0,68.0,24.0,none,none
jacksu/machine-learning,199.0,81.0,36.0,none,none
Ankush96/grad-cam.tensorflow,200.0,66.0,36.0,none,none
jayboxyz/deeplearning_cv_notes,200.0,79.0,24.0,none,none
ChenglongChen/tensorflow-DSMM,199.0,64.0,24.0,none,none
DevinZ1993/Chinese-Poetry-Generation,198.0,94.0,36.0,none,none
mjdietzx/GAN-Sandbox,198.0,74.0,36.0,ntensorflow,none
MorvanZhou/train-robot-arm-from-scratch,198.0,121.0,36.0,none,none
anicolson/DeepXi,197.0,61.0,24.0,ntensorflow,none
amineHorseman/facial-expression-recognition-using-cnn,197.0,92.0,24.0,none,none
xingyul/flownet3d,196.0,49.0,12.0,none,none
indiejoseph/doc-han-att,195.0,53.0,36.0,none,none
maelfabien/Multimodal-Emotion-Recognition,195.0,93.0,12.0,ntensorflow,none
alibaba-edu/simple-effective-text-matching,195.0,42.0,12.0,none,none
seasonSH/Probabilistic-Face-Embeddings,195.0,41.0,12.0,none,none
camrongodbout/TensorFlow-in-a-Nutshell,194.0,84.0,48.0,none,none
szaza/android-yolo-v2,194.0,76.0,36.0,none,none
jparkhill/TensorMol,194.0,60.0,48.0,none,none
luckycallor/InsightFace-tensorflow,194.0,86.0,12.0,none,none
zkywsg/Daily-DeepLearning,194.0,65.0,12.0,none,none
FlinkML/flink-tensorflow,193.0,70.0,36.0,none,none
douban/tfmesos,193.0,51.0,48.0,ntensorflow-gpu==0.12.0,none
policeme/transformer-pointer-generator,193.0,47.0,12.0,b'tensorflow==1.12.0,none
pbhatia243/Neural_Conversation_Models,192.0,78.0,48.0,none,none
yihui-he/GAN-MNIST,192.0,72.0,48.0,none,none
tinrab/go-tensorflow-image-recognition,192.0,65.0,36.0,none,none
IsaacChanghau/neural_sequence_labeling,192.0,45.0,24.0,none,none
may-/cnn-re-tf,191.0,45.0,48.0,none,none
kaiwaehner/ksql-udf-deep-learning-mqtt-iot,191.0,63.0,24.0,none,none
TensorLab/tensorfx,190.0,40.0,48.0,none,none
Hydrospheredata/hydro-serving,190.0,32.0,36.0,none,none
Dharun/Tensorflow-License-Plate-Detection,190.0,100.0,24.0,none,none
analysiscenter/radio,190.0,48.0,36.0,none,none
huangshiyu13/RPNplus,189.0,90.0,36.0,none,none
roomylee/cnn-relation-extraction,189.0,52.0,36.0,none,none
PacktPublishing/Natural-Language-Processing-with-TensorFlow,189.0,127.0,24.0,none,none
ColeMurray/medium-facenet-tutorial,188.0,99.0,36.0,b'tensorflow==1.1.0,none
carpedm20/NAF-tensorflow,188.0,60.0,48.0,none,none
YangZeyu95/unofficial-implement-of-openpose,188.0,66.0,24.0,none,none
shepnerd/inpainting_gmcnn,188.0,35.0,24.0,none,none
potterhsu/SVHNClassifier,187.0,74.0,36.0,none,none
flrngel/Self-Attentive-tensorflow,187.0,39.0,36.0,ntensorflow==1.12.2,none
harveyslash/TSNE-Embedding-Visualisation,187.0,41.0,36.0,ntensorflow-tensorboard==0.1.8,none
Alfredvc/paac,187.0,51.0,36.0,none,none
yangboz/LotteryPrediction,186.0,97.0,108.0,none,none
oandrienko/fast-semantic-segmentation,186.0,35.0,24.0,none,none
drawbridge/keras-mmoe,186.0,60.0,24.0,ntensorflow==1.15.2,none
DetectionTeamUCAS/RetinaNet_Tensorflow_Rotation,186.0,68.0,12.0,none,none
vudung45/FaceRec,185.0,114.0,36.0,none,none
criteo-research/CausE,185.0,45.0,24.0,none,none
NervanaSystems/he-transformer,185.0,38.0,24.0,none,none
pathak22/zeroshot-imitation,185.0,39.0,24.0,ntensorflow-gpu==0.12.0rc0,none
abhaydoke09/Bilinear-CNN-TensorFlow,185.0,71.0,36.0,none,none
dctian/DeepPiCar,184.0,129.0,12.0,none,none
luyanger1799/Amazing-Semantic-Segmentation,184.0,64.0,12.0,none,none
jibikbam/CNN-3D-images-Tensorflow,183.0,96.0,36.0,none,none
DetectionTeamUCAS/R2CNN-Plus-Plus_Tensorflow,184.0,59.0,24.0,none,none
sseung0703/KD_methods_with_TF,183.0,40.0,12.0,none,none
imalikshake/StyleNet,183.0,38.0,36.0,none,none
inoryy/tensorflow2-deep-reinforcement-learning,183.0,39.0,12.0,"ntensorflow>=2.0.0,<=2.1.0",none
chonyy/AI-basketball-analysis,184.0,21.0,0.0,ntensorflow==1.14.0,none
adityac94/Grad_CAM_plus_plus,182.0,43.0,36.0,none,none
idealo/imageatm,182.0,42.0,12.0,none,none
pillarpond/face-recognizer-android,182.0,99.0,24.0,none,none
devicehive/devicehive-audio-analysis,182.0,75.0,36.0,ntensorflow==1.3.0,none
ProHiryu/albert-chinese-ner,182.0,52.0,12.0,none,none
liuyuemaicha/Adversarial-Learning-for-Neural-Dialogue-Generation-in-Tensorflow,180.0,77.0,36.0,none,none
shyamupa/snli-entailment,180.0,42.0,48.0,none,none
ritheshkumar95/im2latex-tensorflow,180.0,58.0,48.0,none,none
vahidk/tfrecord,180.0,21.0,12.0,none,none
PaddlePaddle/X2Paddle,179.0,50.0,12.0,none,none
habrman/FaceRecognition,178.0,93.0,36.0,none,none
nicola-decao/s-vae-tf,178.0,34.0,24.0,none,none
transcendent-ai-labs/DynaML,178.0,46.0,60.0,none,none
titu1994/Keras-NASNet,178.0,70.0,36.0,none,none
kwotsin/TensorFlow-Xception,178.0,95.0,36.0,none,none
FuZer/StudyTensorFlow,177.0,120.0,48.0,none,none
lukedeo/keras-acgan,177.0,63.0,48.0,none,none
snipsco/tensorflow-build,177.0,43.0,36.0,none,none
IBM/tensorflow-hangul-recognition,177.0,113.0,36.0,ntensorflow==1.13.1,none
hujinsen/StarGAN-Voice-Conversion,176.0,35.0,24.0,none,none
wizardforcel/data-science-notebook,176.0,74.0,36.0,none,none
savan77/Practical-Machine-Learning-With-Python,176.0,78.0,36.0,none,none
ardamavi/Vocalization-Sign-Language-iOS,176.0,22.0,24.0,b'tensorflow,none
IntelAI/models,176.0,57.0,24.0,none,none
Thinklab-SJTU/R3Det_Tensorflow,175.0,35.0,12.0,none,none
onnx/keras-onnx,175.0,64.0,24.0,none,none
nex3z/tflite-mnist-android,174.0,55.0,24.0,none,none
AIInAi/tf-insightface,174.0,55.0,24.0,ntensorflow',none
benedekrozemberczki/GEMSEC,174.0,47.0,24.0,none,none
materialsvirtuallab/megnet,175.0,50.0,24.0,ntensorflow==2.2.0,none
steveKapturowski/tensorflow-rl,173.0,45.0,36.0,none,none
ppwwyyxx/dash-docset-tensorflow,173.0,20.0,60.0,none,none
eddywm/KTFLITE,173.0,18.0,24.0,none,none
DetectionTeamUCAS/NAS_FPN_Tensorflow,173.0,57.0,12.0,none,none
greydanus/scribe,172.0,62.0,48.0,none,none
Lapis-Hong/wide_deep,172.0,94.0,24.0,ntensorflow-serving-api,none
hthuwal/sign-language-gesture-recognition,172.0,81.0,36.0,none,none
hjptriplebee/VGG19_with_tensorflow,171.0,75.0,36.0,none,none
liuyuemaicha/Deep-Reinforcement-Learning-for-Dialogue-Generation-in-tensorflow,171.0,68.0,36.0,none,none
ankeshanand/neural-cryptography-tensorflow,171.0,44.0,48.0,ntensorflow==1.4.0,none
waitingfordark/four_flower,171.0,104.0,24.0,none,none
jiamings/fast-weights,171.0,23.0,48.0,none,none
anmspro/Traffic-Signal-Violation-Detection-System,171.0,71.0,12.0,none,none
hwalsuklee/tensorflow-mnist-cnn,171.0,86.0,36.0,none,none
rhnvrm/galaxy-image-classifier-tensorflow,170.0,52.0,48.0,none,none
cagbal/ros_people_object_detection_tensorflow,170.0,73.0,36.0,none,none
zurutech/gans-from-theory-to-production,170.0,40.0,24.0,ntensorflow-datasets,none
RandolphVI/Text-Pairs-Relation-Classification,170.0,55.0,36.0,ntensorflow_tensorboard==1.5.1,none
